group,function,value,sample_time_nanos,iteration_count
Generate grid 10 (my method),,,1001314.0,2780
Generate grid 10 (my method),,,2003080.0,5560
Generate grid 10 (my method),,,3004144.0,8340
Generate grid 10 (my method),,,4004047.0,11120
Generate grid 10 (my method),,,5006973.0,13900
Generate grid 10 (my method),,,6009668.0,16680
Generate grid 10 (my method),,,7020892.0,19460
Generate grid 10 (my method),,,8011212.0,22240
Generate grid 10 (my method),,,9011603.0,25020
Generate grid 10 (my method),,,10009535.0,27800
Generate grid 10 (my method),,,11012955.0,30580
Generate grid 10 (my method),,,12013975.0,33360
Generate grid 10 (my method),,,13015278.0,36140
Generate grid 10 (my method),,,14015297.0,38920
Generate grid 10 (my method),,,15023684.0,41700
Generate grid 10 (my method),,,16018662.0,44480
Generate grid 10 (my method),,,17017459.0,47260
Generate grid 10 (my method),,,18024138.0,50040
Generate grid 10 (my method),,,19021987.0,52820
Generate grid 10 (my method),,,20024598.0,55600
Generate grid 10 (my method),,,21028884.0,58380
Generate grid 10 (my method),,,22030855.0,61160
Generate grid 10 (my method),,,23028128.0,63940
Generate grid 10 (my method),,,24031864.0,66720
Generate grid 10 (my method),,,25028766.0,69500
Generate grid 10 (my method),,,26030792.0,72280
Generate grid 10 (my method),,,27034735.0,75060
Generate grid 10 (my method),,,28031722.0,77840
Generate grid 10 (my method),,,29032689.0,80620
Generate grid 10 (my method),,,30071685.0,83400
Generate grid 10 (my method),,,31041043.0,86180
Generate grid 10 (my method),,,32047921.0,88960
Generate grid 10 (my method),,,33036968.0,91740
Generate grid 10 (my method),,,34041536.0,94520
Generate grid 10 (my method),,,35039651.0,97300
Generate grid 10 (my method),,,36044439.0,100080
Generate grid 10 (my method),,,37037963.0,102860
Generate grid 10 (my method),,,38039441.0,105640
Generate grid 10 (my method),,,39047782.0,108420
Generate grid 10 (my method),,,40051456.0,111200
Generate grid 10 (my method),,,41051545.0,113980
Generate grid 10 (my method),,,42048195.0,116760
Generate grid 10 (my method),,,43051048.0,119540
Generate grid 10 (my method),,,44053107.0,122320
Generate grid 10 (my method),,,45057595.0,125100
Generate grid 10 (my method),,,46050588.0,127880
Generate grid 10 (my method),,,47051263.0,130660
Generate grid 10 (my method),,,48053067.0,133440
Generate grid 10 (my method),,,49064566.0,136220
Generate grid 10 (my method),,,50060427.0,139000
Generate grid 10 (my method),,,51065772.0,141780
Generate grid 10 (my method),,,52056553.0,144560
Generate grid 10 (my method),,,53061103.0,147340
Generate grid 10 (my method),,,54089760.0,150120
Generate grid 10 (my method),,,55069526.0,152900
Generate grid 10 (my method),,,56076876.0,155680
Generate grid 10 (my method),,,57075648.0,158460
Generate grid 10 (my method),,,58070025.0,161240
Generate grid 10 (my method),,,59070000.0,164020
Generate grid 10 (my method),,,60073974.0,166800
Generate grid 10 (my method),,,61066724.0,169580
Generate grid 10 (my method),,,62075363.0,172360
Generate grid 10 (my method),,,63076059.0,175140
Generate grid 10 (my method),,,64077682.0,177920
Generate grid 10 (my method),,,65076047.0,180700
Generate grid 10 (my method),,,66082255.0,183480
Generate grid 10 (my method),,,67087445.0,186260
Generate grid 10 (my method),,,68089468.0,189040
Generate grid 10 (my method),,,69088531.0,191820
Generate grid 10 (my method),,,70228003.0,194600
Generate grid 10 (my method),,,71086345.0,197380
Generate grid 10 (my method),,,72092518.0,200160
Generate grid 10 (my method),,,73086499.0,202940
Generate grid 10 (my method),,,74089113.0,205720
Generate grid 10 (my method),,,75088071.0,208500
Generate grid 10 (my method),,,76101647.0,211280
Generate grid 10 (my method),,,77086380.0,214060
Generate grid 10 (my method),,,78096240.0,216840
Generate grid 10 (my method),,,79092434.0,219620
Generate grid 10 (my method),,,80103931.0,222400
Generate grid 10 (my method),,,81099085.0,225180
Generate grid 10 (my method),,,82095058.0,227960
Generate grid 10 (my method),,,83122831.0,230740
Generate grid 10 (my method),,,84098730.0,233520
Generate grid 10 (my method),,,85090789.0,236300
Generate grid 10 (my method),,,86098401.0,239080
Generate grid 10 (my method),,,87109428.0,241860
Generate grid 10 (my method),,,88099588.0,244640
Generate grid 10 (my method),,,89095573.0,247420
Generate grid 10 (my method),,,90105547.0,250200
Generate grid 10 (my method),,,91099627.0,252980
Generate grid 10 (my method),,,92110511.0,255760
Generate grid 10 (my method),,,93114131.0,258540
Generate grid 10 (my method),,,94226384.0,261320
Generate grid 10 (my method),,,95114171.0,264100
Generate grid 10 (my method),,,96146584.0,266880
Generate grid 10 (my method),,,97113959.0,269660
Generate grid 10 (my method),,,98125684.0,272440
Generate grid 10 (my method),,,99139108.0,275220
Generate grid 10 (my method),,,100127397.0,278000
