group,function,value,sample_time_nanos,iteration_count
Generate grid 51 (my method),,,993744.0,144
Generate grid 51 (my method),,,1985528.0,288
Generate grid 51 (my method),,,2977529.0,432
Generate grid 51 (my method),,,3969729.0,576
Generate grid 51 (my method),,,5010427.0,720
Generate grid 51 (my method),,,5956689.0,864
Generate grid 51 (my method),,,6967676.0,1008
Generate grid 51 (my method),,,7957593.0,1152
Generate grid 51 (my method),,,8949134.0,1296
Generate grid 51 (my method),,,9961137.0,1440
Generate grid 51 (my method),,,11018224.0,1584
Generate grid 51 (my method),,,11934073.0,1728
Generate grid 51 (my method),,,13113191.0,1872
Generate grid 51 (my method),,,13921266.0,2016
Generate grid 51 (my method),,,14927200.0,2160
Generate grid 51 (my method),,,15916236.0,2304
Generate grid 51 (my method),,,16906143.0,2448
Generate grid 51 (my method),,,17892901.0,2592
Generate grid 51 (my method),,,18897721.0,2736
Generate grid 51 (my method),,,19895720.0,2880
Generate grid 51 (my method),,,20855772.0,3024
Generate grid 51 (my method),,,21838746.0,3168
Generate grid 51 (my method),,,22830500.0,3312
Generate grid 51 (my method),,,23838952.0,3456
Generate grid 51 (my method),,,24854674.0,3600
Generate grid 51 (my method),,,25908392.0,3744
Generate grid 51 (my method),,,26853775.0,3888
Generate grid 51 (my method),,,27859464.0,4032
Generate grid 51 (my method),,,28773770.0,4176
Generate grid 51 (my method),,,29772492.0,4320
Generate grid 51 (my method),,,30833294.0,4464
Generate grid 51 (my method),,,31787663.0,4608
Generate grid 51 (my method),,,32865384.0,4752
Generate grid 51 (my method),,,33822562.0,4896
Generate grid 51 (my method),,,34758000.0,5040
Generate grid 51 (my method),,,35706530.0,5184
Generate grid 51 (my method),,,36747999.0,5328
Generate grid 51 (my method),,,37718206.0,5472
Generate grid 51 (my method),,,38720515.0,5616
Generate grid 51 (my method),,,39674771.0,5760
Generate grid 51 (my method),,,40673368.0,5904
Generate grid 51 (my method),,,41673436.0,6048
Generate grid 51 (my method),,,42655862.0,6192
Generate grid 51 (my method),,,43647718.0,6336
Generate grid 51 (my method),,,44635706.0,6480
Generate grid 51 (my method),,,45635058.0,6624
Generate grid 51 (my method),,,46618273.0,6768
Generate grid 51 (my method),,,47644330.0,6912
Generate grid 51 (my method),,,48608670.0,7056
Generate grid 51 (my method),,,49590474.0,7200
Generate grid 51 (my method),,,50700078.0,7344
Generate grid 51 (my method),,,51581337.0,7488
Generate grid 51 (my method),,,52567721.0,7632
Generate grid 51 (my method),,,53560365.0,7776
Generate grid 51 (my method),,,54551351.0,7920
Generate grid 51 (my method),,,55546541.0,8064
Generate grid 51 (my method),,,56540443.0,8208
Generate grid 51 (my method),,,57573675.0,8352
Generate grid 51 (my method),,,58592031.0,8496
Generate grid 51 (my method),,,59506343.0,8640
Generate grid 51 (my method),,,60515564.0,8784
Generate grid 51 (my method),,,61495673.0,8928
Generate grid 51 (my method),,,62484504.0,9072
Generate grid 51 (my method),,,63474350.0,9216
Generate grid 51 (my method),,,64468510.0,9360
Generate grid 51 (my method),,,65501134.0,9504
Generate grid 51 (my method),,,66464458.0,9648
Generate grid 51 (my method),,,67471061.0,9792
Generate grid 51 (my method),,,68437393.0,9936
Generate grid 51 (my method),,,69429678.0,10080
Generate grid 51 (my method),,,70416858.0,10224
Generate grid 51 (my method),,,71420780.0,10368
Generate grid 51 (my method),,,72445944.0,10512
Generate grid 51 (my method),,,73453379.0,10656
Generate grid 51 (my method),,,74388618.0,10800
Generate grid 51 (my method),,,75382621.0,10944
Generate grid 51 (my method),,,76367949.0,11088
Generate grid 51 (my method),,,77372930.0,11232
Generate grid 51 (my method),,,78352993.0,11376
Generate grid 51 (my method),,,79385865.0,11520
Generate grid 51 (my method),,,80337000.0,11664
Generate grid 51 (my method),,,81364609.0,11808
Generate grid 51 (my method),,,82317262.0,11952
Generate grid 51 (my method),,,83312465.0,12096
Generate grid 51 (my method),,,84303623.0,12240
Generate grid 51 (my method),,,85368642.0,12384
Generate grid 51 (my method),,,86341167.0,12528
Generate grid 51 (my method),,,87285311.0,12672
Generate grid 51 (my method),,,88267141.0,12816
Generate grid 51 (my method),,,89265747.0,12960
Generate grid 51 (my method),,,90262521.0,13104
Generate grid 51 (my method),,,91292601.0,13248
Generate grid 51 (my method),,,92284869.0,13392
Generate grid 51 (my method),,,93228133.0,13536
Generate grid 51 (my method),,,94225359.0,13680
Generate grid 51 (my method),,,95213868.0,13824
Generate grid 51 (my method),,,96275289.0,13968
Generate grid 51 (my method),,,97229299.0,14112
Generate grid 51 (my method),,,98196992.0,14256
Generate grid 51 (my method),,,99181331.0,14400
